CellV [A^3],Df,NASA [m^2/cm^3],total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-S-0-all,D_mc_CRY-S-2-all,sum-mc_CRY-Z-1-all,sum-D_mc_CRY-T-3-all,lc-chi-3-all,lc-Z-2-all,lc-alpha-0-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-T-1-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-alpha-2-all,func-chi-0-all,func-Z-1-all,func-T-3-all,D_func-chi-3-all,D_func-T-1-all,D_func-T-3-all,f-lig-T-1,sum-D_lc-Z-2-all,sum-D_lc-Z-3-all,sum-D_lc-T-3-all,sum-func-Z-0-all,sum-D_func-chi-2-all,sum-D_func-T-2-all,sum-f-lig-Z-3,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_methane_widomHOA,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,temperature,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category,time
3565.41,4.30595,0.0,0.336076,2.8561,26.1612,63.7468,2304.0,2.1904,2.84,10368,147,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,86.4,33.2,5.9,-2.8,-5.6,952.0,6.0,12.0,-12.0,192.0,12.894,-6.0,20304,-0.586,1.232,0.00150996,-37.00025175,5.03e-05,-19.93274243,3.387493274,4.454869653,85,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1,24
29351.2,10.75924,0.0,1.23626,2.4025,23.994,32.49575,625.0,1.9321,2.17,10800,150,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,9.2416,126.0,60.0,4.62,-2.0,4.0,656.0,12.0,24.0,-24.0,294.0,31.92,48.0,28584,-0.558,1.295,0.00136954,-35.52141805,9.98e-06,-11.49890165,4.509646296,4.508825852,95,6228,0,0,944,-0.110283159,-0.089079437,0.295377468,2,72
15113.6,7.03158,0.0,1.23905,3.61,26.144,45.524,841.0,1.9044,2.44,5568,72,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,6.0,12.0,-12.0,0.0,0.0,0.0,16056,-0.418,0.907,5.68e-05,-20.84017628,1.51e-05,-14.13097333,0.704267956,5.001432501,85,6228,0,0,28118,-0.110283159,-0.089079437,0.295377468,2,24
3169.54,4.09157,0.0,0.434687,2.7225,22.704,45.408,900.0,1.7161,2.16,11520,240,0.0,128.0,28.09,0.89,0.0,-2.0,0.0,-0.04,0.0,11.8336,48.0,0.0,0.0,-2.0,0.0,18.0,0.0,0.0,0.0,1536.0,0.0,0.0,0,-0.415,1.251,6.69e-06,-14.83380351,2.54e-06,-10.71763034,0.103055636,1.253960088,90,962,0,0,0,-0.110283159,-0.221660742,-0.20352036,1,68
19549.9,7.77882,0.0,0.838581,3.6481,18.1832,47.7309,784.0,1.4641,2.2,14784,240,20.15054545,101.8181818,47.48636364,0.955454545,2.063636364,-2.0,-0.363636364,-0.04,-3.090909091,9.948509091,74.18181818,23.45454545,2.267272727,-2.0,-4.727272727,459.8181818,236.0,232.0,-8.0,1168.0,21.02,-44.0,72720,-0.426,1.004,0.000186825,-30.81238593,4.64e-06,-9.274880128,2.388201493,2.507287355,140,962,887,0,0,-0.110283159,0.083073132,-0.129610464,1,48
3384.96,4.86854,0.0,0.204278,1.21,22.704,39.534,4900.0,2.89,5.58,13440,168,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,12.0,24.0,-24.0,0.0,0.0,0.0,8520,-0.458,1.548,0.000375121,-31.08608967,2.62e-05,-18.25797617,2.151071758,2.462311502,100,962,6228,0,0,-0.110283159,-0.011074772,0.280791788,1,20
5590.16,2.81125,625.705,0.199088,2.7225,18.876,43.2795,900.0,1.7161,2.7,12720,256,19.77155556,104.2222222,42.90666667,0.94,1.918888889,-2.0,-1.666666667,-0.04,-3.777777778,7.889066667,32.0,4.0,1.186666667,-1.333333333,-2.666666667,158.0,208.0,189.3333333,-40.0,1024.0,14.24,-32.0,26368,-0.455,1.212,0.0118646,-44.3157852,3.87e-05,-20.94799742,3.926041923,3.587340849,85,702,6228,0,0,0.889716841,0.040564351,-0.304783433,1,12
13312.0,3.45398,214.439,0.116332,3.61,17.328,54.15,841.0,1.9044,3.66,4872,96,21.128,98.0,54.76,0.98,2.17,-2.0,1.0,-0.04,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,168.0,156.0,12.0,0.0,0.0,0.0,15456,-0.267,0.823,0.000385708,-32.93940407,7.09e-05,-25.78787431,2.322212341,3.259547152,180,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,72
4548.2,6.13055,0.0,0.377157,2.7225,26.488,75.548,900.0,1.7161,3.32,20160,552,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,24.0,48.0,-48.0,0.0,0.0,0.0,17040,-0.825,1.244,3.59e-05,-19.96446101,1.09e-05,-14.46823394,0.565968239,3.334716332,100,12051,0,0,0,-0.110283159,-0.105013562,0.49409026,1,40
3224.33,5.01976,0.0,0.523783,3.6481,26.2816,40.8931,784.0,1.4641,2.16,7168,92,18.80533333,112.0,28.09,0.89,1.986666667,-2.0,-4.0,-0.04,-6.0,11.8336,52.0,9.0,1.78,-1.0,-3.0,446.0,8.0,20.66666667,-16.0,256.0,3.56,-4.0,14128,-0.585,1.08,0.000933701,-39.48848329,8.74e-06,-13.31955643,3.363011456,3.594780917,105,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1,72
8179.71,3.23478,385.177,0.114246,2.7225,22.044,45.3255,900.0,1.7161,2.7,7440,144,19.336,105.0,41.425,0.935,1.975,-2.0,-1.5,-0.04,-4.0,10.5376,83.25,22.75,2.69,-1.0,-2.25,507.0,64.0,68.0,-12.0,452.0,17.68,-6.0,28960,-0.502,1.222,0.000287105,-34.72211825,3.33e-05,-22.12763821,1.710789918,2.477552312,85,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1,72
15482.7,4.72444,37.3883,0.15091029,4.870872727,39.15083636,129.3662,3769.818182,1.888872727,1.016363636,304704,6096,24.8862,103.125,48.0925,1.94,2.07375,1.5,4.125,0.4725,-1.125,1.199025,120.0,0.0,0.0,3.0,0.0,146.0,252.0,444.0,132.0,1800.0,0.0,0.0,10080,-0.907,1.117,5.81e-06,-20.15689084,8.8e-07,-10.96488661,0.0817766,0.43836213,170,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,72
2810.66,4.24964,202.884,0.3155828,2.4025,24.88266667,44.24733333,625.0,1.9321,2.48,5600,132,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,12.0,24.0,-24.0,0.0,0.0,0.0,14160,-0.583,1.312,0.00338468,-39.04235423,2.9e-05,-19.83318941,5.788295553,4.24047352,161,31374,0,0,0,-0.110283159,-0.095729659,0.393527106,1,480
2393.79,3.51453,128.677,0.0476683,2.8561,30.5552,88.7926,2304.0,2.1904,3.293333333,12096,292,32.14693333,163.8333333,32.535,1.166666667,2.888333333,-2.666666667,-0.833333333,-0.188333333,-6.333333333,4.7961,450.0,32.0,-0.72,9.0,0.0,380.0,26.66666667,59.33333333,-3.333333333,900.0,-3.48,28.0,8464,-0.56,1.224,0.00896124,-47.42869596,2.47e-05,-25.10237889,1.248347349,1.22044148,160,962,0,0,3301,-0.110283159,0.083073132,-0.129610464,0,96
4906.31,3.58022,556.495,0.127523,2.8561,28.054,58.19515,2304.0,2.1904,4.3,14784,220,18.75333333,114.3333333,41.425,0.608333333,1.66,-1.333333333,-2.666666667,-0.026666667,-6.9,0.0,0.0,0.0,0.0,0.0,0.0,269.0,16.0,40.0,-21.33333333,0.0,0.0,0.0,14936,-0.496,1.221,0.0104221,-43.58572175,2.76e-05,-19.99429596,2.0925066,1.617643872,120,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,96
15294.6,6.01162,0.0,0.958052,3.61,26.144,45.524,841.0,1.9044,2.44,5568,72,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,2554.0,6.0,12.0,-12.0,0.0,0.0,0.0,30096,-0.59,0.943,9.75e-05,-21.9167313,2.64e-05,-16.69370187,1.109789732,6.181226853,60,962,6228,0,313,-0.110283159,0.083073132,-0.129610464,2,72
5013.03,3.9227,3.16089,0.365337,1.7161,21.02986667,37.39613333,144.0,1.9321,2.48,2688,132,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,12.0,24.0,-24.0,0.0,0.0,0.0,12984,-0.611,1.476,0.0147637,-45.3187142,3.08e-05,-17.91556484,6.296414437,4.994837495,120,962,6228,0,0,-0.110283159,0.083073132,-0.129610464,1,72
5928.73,3.8044,0.113572,0.144697,2.8561,33.5296,56.6657,2304.0,2.1904,4.97,17664,392,19.3876,105.0,41.425,0.935,1.96,-2.0,-1.0,-0.04,-4.0,8.597,130.75,19.0,0.5475,-1.0,2.5,327.0,128.0,56.0,-16.0,2500.0,10.4,-40.0,39728,-0.494,1.224,0.00021296,-32.84830251,1.94e-05,-19.72895303,1.284281672,2.103587179,120,962,0,0,0,-0.110283159,-0.003003152,0.082883502,1,72
42994.7,20.39274,0.0,2.94624,3.61,26.144,45.524,841.0,1.9044,2.44,7424,96,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,96.0,22.0,2.67,-1.0,-3.0,1212.0,8.0,16.0,-16.0,256.0,10.68,-8.0,39776,-0.409,0.905,1.25e-05,-10.91978434,6.36e-06,-7.104197407,0.192345176,3.409693855,80,962,31374,0,944,-0.110283159,0.083073132,-0.129610464,2,24
1828.35,4.69687,0.0,0.444468,1.69,48.568,39.312,8100.0,3.0625,13.71,31320,214,22.92733333,106.6666667,50.22333333,0.336666667,1.935555556,-0.777777778,-3.111111111,-0.045555556,-6.0,4.7961,390.0,96.0,-2.22,6.0,24.0,566.0,4.0,12.44444444,-6.222222222,450.0,-4.32,12.0,10608,-0.19,0.291,2.32e-05,-18.35809097,9.37e-06,-14.03829463,0.358963696,3.495532232,160,6228,0,0,944,-0.110283159,-0.089079437,0.295377468,2,72
1933.28,4.09789,0.0,0.329085,3.61,31.16,73.967,841.0,1.9044,4.27,2204,84,12.648,112.0,41.425,0.935,1.135,-2.0,-3.0,-0.04,-0.1,10.01988,147.2,13.85,2.0015,-0.6,0.2,409.0,28.0,10.0,-12.0,302.8,6.768,2.6,11008,-0.553,0.921,9.93e-05,-24.18708589,2.65e-05,-18.88971837,1.299457421,3.76889955,130,962,887,0,14798,-0.110283159,0.083073132,-0.129610464,0,24
792.236,3.54585,411.969,0.142033,0.9025,23.769,28.443,1444.0,3.4225,5.19,5928,124,22.3914,162.3333333,227.06,-0.536666667,1.676666667,1.0,-1.0,0.206666667,15.53333333,10.5376,126.5,25.0,2.52,0.0,9.0,480.0,26.66666667,41.33333333,-2.0,113.0,7.76,15.0,5324,-0.548,1.505,0.0151934,-45.31414936,4.28e-05,-22.67541495,2.756706298,2.354902889,150,962,702,0,14798,-0.110283159,0.083073132,-0.129610464,0,96
21568.6,7.51947,0.0,1.25484,3.61,26.144,45.524,841.0,1.9044,2.44,22272,288,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,9.2416,107.3333333,24.33333333,2.59,-0.333333333,0.0,1014.0,16.0,32.0,-32.0,392.0,12.69333333,-8.0,68448,-0.425,0.931,2.23e-05,-15.9161932,8.03e-06,-10.60728083,0.324699399,3.90646688,85,6228,962,0,313,-0.110283159,-0.089079437,0.295377468,2,18
29220.1,9.06966,0.0,1.98916,3.61,26.144,45.524,841.0,1.9044,2.44,22272,288,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,16.0,32.0,-32.0,0.0,0.0,0.0,55872,-0.441,0.928,1.82e-05,-15.63550316,6.78e-06,-9.670269806,0.269065438,3.157539558,80,6228,702,0,313,-0.110283159,-0.089079437,0.295377468,2,48
1817.03,4.49829,49.9599,0.1216928,3.5344,37.2992,82.29386667,729.0,1.5876,2.613333333,14904,616,27.862,134.5,48.0925,0.9575,1.455,-2.0,-2.0,-0.04,-3.75,9.2416,91.0,15.0,0.49,2.0,1.0,168.0,50.0,42.0,-16.0,392.0,7.44,40.0,9248,-0.558,1.214,0.000676902,-36.29039435,0.000108586,-26.33501322,1.823891816,2.683687084,130,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,96
4006.59,3.32069,318.254,0.114901,2.8561,32.8536,86.5449,2304.0,2.1904,6.39,17280,520,28.17626667,128.3333333,45.87,0.95,1.376666667,-2.0,-1.0,-0.04,-6.566666667,7.2064,68.0,4.0,1.093333333,-1.333333333,-2.222222222,274.0,76.0,68.0,-12.0,3608.0,6.933333333,-21.33333333,30432,-0.486,1.216,0.000488689,-33.53562658,0.000104896,-27.1071567,1.232184957,1.87200476,160,962,6342,0,8471,-0.110283159,0.083073132,-0.129610464,0,72
2227.57,3.28049,230.724,0.11951,3.5344,34.8176,83.707,729.0,1.5876,3.56,9288,348,16.50933333,107.3333333,36.98,0.756666667,1.63,-1.666666667,-3.0,-0.033333333,-4.333333333,3.080533333,42.0,6.0,0.326666667,-0.333333333,0.0,284.0,22.0,30.0,-18.0,98.0,7.7,20.0,11688,-0.793,1.174,0.00228642,-42.80061494,1.01e-05,-19.33984637,3.018648228,1.670398431,110,962,6228,0,14798,0.389716841,0.06606585,-0.271501052,0,72
8224.53,6.57358,84.0405,0.7614887,3.61,26.144,45.524,841.0,1.9044,2.44,14848,192,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,96.0,40.0,6.93,-3.0,-6.0,1048.0,8.0,16.0,-16.0,256.0,20.6,-8.0,35456,-0.41,0.916,0.000155471,-27.55567756,2.77e-05,-20.37534535,1.016635758,4.214945651,60,6228,0,0,28118,-0.110283159,-0.089079437,0.295377468,2,72
1106.15,4.58071,0.0,0.264532,3.61,25.384,47.348,841.0,1.9044,3.05,3596,68,18.706,108.5,34.7575,0.9125,1.79,-2.0,-3.25,-0.04,-5.0,11.8336,48.0,6.0,1.78,-2.0,-4.0,174.0,20.0,20.0,-13.0,256.0,3.56,-8.0,5872,-0.408,0.901,0.000662244,-32.29188701,3.04e-05,-18.92711672,3.676103135,3.376649864,85,6228,702,0,0,-0.110283159,-0.089079437,0.295377468,1,12
5512.95,9.1911,0.0,0.633061,3.61,26.144,45.524,841.0,1.9044,2.44,11136,144,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,8.0,16.0,-16.0,0.0,0.0,0.0,25344,-0.424,0.903,0.000107101,-24.40915648,1.86e-05,-15.74441536,1.391847963,4.907152672,65,6228,0,0,28118,-0.110283159,-0.089079437,0.295377468,2,48
5394.88,2.66706,151.362,0.0423683,2.9047,21.3449,55.3011375,592.75,1.482325,0.825,22712,704,21.128,98.0,54.76,0.98,2.17,-2.0,1.0,-0.04,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,210.0,195.0,15.0,0.0,0.0,0.0,19320,-1.012,1.742,0.307532,-60.67787385,6.96e-06,-21.47056832,3.12657899,0.980224536,170,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,120
2235.36,3.57593,477.565,0.0958213,1.21,36.476,76.538,3249.0,2.8561,8.16,33288,1320,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,48.0,6.0,1.78,-2.0,-4.0,240.0,12.0,24.0,-24.0,384.0,5.34,-12.0,15708,-0.776,1.677,0.0114683,-49.91973863,4.07e-06,-16.62619665,1.662931404,0.812020792,140,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,72
3821.37,3.45207,122.755,0.0567735,2.8561,27.716,59.5556,2304.0,2.1904,5.01,14592,256,16.50933333,107.3333333,36.98,0.756666667,1.63,-1.666666667,-2.666666667,-0.033333333,-4.333333333,10.9696,74.0,12.0,2.073333333,-1.333333333,-1.333333333,330.6666667,44.0,60.0,-32.0,708.0,17.76,8.0,24288,-0.919,1.222,0.000245824,-34.41606805,2.35e-05,-24.07720399,1.067990376,1.908351601,110,962,887,0,14798,0.389716841,0.061818741,-0.217196949,0,72
3581.83,3.41448,378.602,0.12847,2.7225,10.296,31.251,900.0,1.7161,1.944,8640,-64,27.09426667,135.3333333,50.315,0.965,-0.043333333,-2.0,0.083333333,-0.04,-5.083333333,11.8336,49.0,5.75,1.445,-1.75,-2.75,137.0,112.0,-5.333333333,1.333333333,1024.0,14.24,-30.0,20064,-0.571,1.201,0.00333237,-42.47358184,3.92e-05,-23.00711547,2.400455189,2.174201032,140,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,96
8927.8,3.8221,0.0,0.0686276,3.0675,21.397,44.096,1654.75,2.142325,2.065,65444,312,19.19586111,104.3888889,44.53916667,0.695,1.809166667,-1.5,-1.805555556,-0.03,-4.277777778,0.0,0.0,0.0,0.0,0.0,0.0,300.0,66.0,87.0,-21.66666667,0.0,0.0,0.0,21888,-0.64,1.534,0.00417902,-46.29702161,7.81e-06,-19.36156665,1.35541644,1.079371055,100,962,702,0,0,0.389716841,0.06606585,-0.271501052,1,72
1284.62,3.19147,6.35281,0.0,2.4025,25.42,51.243,625.0,1.9321,4.34,3800,128,25.9352,121.8,38.758,0.926,1.51,-2.0,-1.8,-0.04,-6.34,10.5376,69.5,19.5,0.98,0.0,0.0,282.0,18.4,23.2,-7.2,226.0,4.72,-2.0,8984,-0.439,1.267,0.0227115,-53.10132468,6.99e-07,-17.53162368,3.289238324,0.396881623,160,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,72
2374.78,4.74264,0.0,0.577006,2.7225,26.4,66.792,900.0,1.7161,4.32,2220,96,19.93333333,102.6666667,45.87,0.95,2.04,-2.0,-0.666666667,-0.04,-3.333333333,5.4848,30.0,7.666666667,1.281666667,-1.0,-1.833333333,432.0,40.0,40.0,-2.666666667,118.0,2.493333333,-5.333333333,11064,-0.44,1.208,0.000126144,-23.89608112,3.39e-05,-17.4482964,1.45910104,6.289440883,120,962,702,31374,0,-0.110283159,-0.003003152,0.082883502,1,72
60451.8,13.9632,0.0,2.41276,3.61,26.144,45.524,841.0,1.9044,2.44,22272,288,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,9.2416,84.0,30.0,2.45,-2.0,-5.0,1062.0,32.0,64.0,-64.0,784.0,15.68,-32.0,121920,-0.44,0.915,1.93e-05,-15.19276725,7.56e-06,-9.601251109,0.281849027,3.728294535,85,6228,13387,0,0,-0.110283159,-0.089079437,0.295377468,1,48
4337.46,4.77221,38.9347,0.0974397,2.8561,33.462,39.92625,2304.0,2.1904,1.065,28800,228,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,9.2416,126.0,39.0,4.83,0.0,8.0,642.0,12.0,24.0,-24.0,294.0,21.84,24.0,25968,-0.602,1.254,2.42e-05,-22.87298019,8.47e-06,-18.63028295,0.315279586,1.230400855,100,962,31275,6228,0,-0.110283159,-0.003003152,0.082883502,1,48
41257.5,13.08019,0.0,0.732421,1.21,27.09666667,37.664,4225.0,2.8224,3.64,89440,1328,9.1895625,53.5,34.315,0.278125,0.8225,-0.625,-1.5,-0.0125,-2.625,4.9448,40.125,9.625,0.94,-0.375,-1.25,241.0,28.0,76.0,-48.0,844.0,18.68,-20.0,66272,-0.565,1.992,0.000242557,-35.28952781,6.11e-06,-11.94607445,1.339796091,2.535013687,105,6228,0,0,944,-0.110283159,-0.089079437,0.295377468,2,72
3916.82,2.49159,68.3281,0.0431095,3.6481,34.6092,84.9568,784.0,1.4641,3.3,9408,476,5.776,85.2,38.758,0.926,0.532,-2.0,0.0,-0.04,1.24,3.69664,50.4,10.8,1.4,0.0,2.4,214.8,188.0,56.0,0.0,392.0,25.2,40.0,21920,-0.565,1.115,0.000109348,-34.59805299,1.64e-05,-24.79532343,0.714189805,1.268437191,140,962,6228,702,0,-0.110283159,0.083073132,-0.129610464,1,96
4198.77,3.80774,0.0,0.41112,1.2544,36.5344,52.6736,3364.0,2.6569,4.3,17632,468,19.86955556,103.1111111,50.22333333,0.296666667,1.677777778,-0.666666667,-2.222222222,-0.013333333,-4.666666667,7.7218,196.0,70.0,-2.91,2.0,15.0,754.0,6.222222222,24.44444444,-8.888888889,520.0,-8.62,16.0,27184,-0.614,2.132,0.101348,-53.09850817,1.9e-05,-16.51555506,2.858738404,4.968995432,80,962,6228,0,0,-0.110283159,-0.177466974,-0.037221084,1,24
9001.66,10.18861,0.0,0.537556,1.21,30.272,54.67,3249.0,2.8561,5.52,10944,264,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,6.0,12.0,-12.0,0.0,0.0,0.0,14292,-0.502,1.664,0.00028878,-35.56013289,5.7e-06,-11.54028793,1.455594768,2.832318842,80,962,6228,887,0,-0.110283159,0.083073132,-0.129610464,1,48
3431.81,7.09331,0.0,1.22774,3.61,26.144,45.524,841.0,1.9044,2.44,3712,48,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,4.0,8.0,-8.0,0.0,0.0,0.0,11744,-0.453,0.869,3.44e-05,-18.13629324,1.28e-05,-13.49646474,0.474139589,4.42708287,80,962,0,0,313,0.223050174,0.011519349,-0.04633881,2,24
5505.82,7.4101,0.0,1.48521,3.61,26.144,45.524,841.0,1.9044,2.44,5568,72,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,6.0,12.0,-12.0,0.0,0.0,0.0,13476,-0.423,0.904,3.18e-05,-19.1611628,9.65e-06,-12.30458954,0.430357806,3.886157976,65,962,6228,0,28118,-0.110283159,0.083073132,-0.129610464,2,72
49617.8,15.31723,0.0,2.07587,3.6481,28.90976,62.89248,784.0,1.4641,1.408,14784,264,23.392,112.0,28.09,0.89,2.373333333,-2.0,-7.666666667,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,12.0,32.0,-46.0,0.0,0.0,0.0,38628,-0.597,1.101,5.53e-05,-22.30428507,8.05e-06,-10.02158805,0.809393012,3.922894585,120,6228,12051,0,0,0.389716841,-0.024257543,-0.004702983,1,20
5069.05,6.45971,0.0,0.55656,2.4025,23.10533333,44.24733333,625.0,1.9321,2.48,5200,110,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,5.9168,24.0,3.0,0.89,-1.0,-2.0,834.0,8.0,16.0,-16.0,128.0,1.78,-4.0,23664,-0.96,1.308,0.00372407,-43.45158263,1.41e-05,-15.20170789,3.137472445,4.130731683,90,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,48
1107.91,3.2343,656.954,0.233436,2.039133333,25.5248,30.2376,720.3333333,2.4246,2.953333333,6672,110,23.6672,112.0,28.09,0.89,0.0,-2.0,0.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,12.0,0.0,0.0,0.0,0.0,0.0,3072,-0.413,1.237,6.37e-06,-17.10747642,2.05e-06,-12.55330842,0.092075084,0.808230061,150,962,0,0,176,-0.110283159,0.083073132,-0.129610464,2,72
