mc_CRY-chi-1-all,mc_CRY-Z-3-all,mc_CRY-S-2-all,sum-D_mc_CRY-chi-3-all,func-alpha-2-all,f-lig-T-2,MPC,logKH_CH4,CH4DC,temperature,time
26.1612,4224.0,8.9392,-104.64,199.492,1376.0,1.232,-4.298377624,50.63762771,85.0,24
23.994,1225.0,5.67815,-121.38,467.68,956.0,1.295,-5.000865542,194.9190914,95.0,72
26.144,1624.0,4.2504,-52.56,0.0,1064.0,0.907,-4.820258677,219.4501326,85.0,24
22.704,1920.0,4.0348,-171.84,56.18,6.0,1.251,-5.595111573,116.1809122,90.0,68
18.1832,1176.0,4.6585,-141.36,225.2745455,645.8181818,1.004,-5.333882804,178.1377413,140.0,48
22.704,5880.0,7.854,-90.96,0.0,256.0,1.548,-4.582448597,51.95229726,100.0,20
18.876,1470.0,5.0435,-155.68,58.65333333,202.6666667,1.212,-4.412715684,47.94270461,85.0,12
17.328,1218.0,6.3756,-45.6,0.0,352.0,0.823,-4.149174938,34.83158883,180.0,72
26.488,3200.0,9.3796,-408.36,0.0,256.0,1.244,-4.961236819,113.8063694,100.0,40
26.2816,1400.0,4.7069,-64.32,87.98,642.0,1.08,-5.058714718,136.2399344,105.0,72
22.044,1680.0,5.0435,-87.76,198.1625,716.0,1.222,-4.477354968,28.7276643,85.0,72
39.15083636,7453.090909,11.06898182,-2797.92,0.0,169.5,1.117,-6.055301221,114.204902,170.0,72
24.88266667,1666.666667,6.857333333,-84.48,0.0,484.0,1.312,-4.536922638,82.10052552,161.0,480
30.5552,5088.0,11.1888,-132.72,410.0,540.0,1.224,-4.607366349,3.634788638,160.0,96
28.054,7032.0,7.8736,-106.48,0.0,379.0,1.221,-4.559309694,32.39434971,120.0,96
26.144,1624.0,4.2504,-52.56,0.0,3864.0,0.943,-4.579207843,214.6640891,60.0,72
21.02986667,800.0,6.857333333,-97.92,0.0,424.0,1.476,-4.511260378,60.77943599,120.0,72
33.5296,2976.0,7.9772,-92.48,535.7375,445.0,1.224,-4.71236396,45.19114581,120.0,72
26.144,1624.0,4.2504,-70.08,179.67,1828.0,0.905,-5.196751888,179.7011954,80.0,24
48.568,7290.0,18.8825,-29.28,1695.0,834.0,0.291,-5.02803243,133.7221952,160.0,72
31.16,2146.0,7.4382,-24.66,231.763,574.0,0.921,-4.577314974,64.61257486,130.0,24
23.769,2394.0,10.9335,-38.98,334.055,696.0,1.505,-4.369055754,16.31316913,150.0,96
26.144,1624.0,4.2504,-210.24,270.5933333,1506.0,0.931,-5.09525471,216.567958,85.0,18
26.144,1624.0,4.2504,-210.24,0.0,1140.0,0.928,-5.168902921,194.9333956,80.0,48
37.2992,2520.0,8.3496,-179.36,210.9,226.0,1.214,-3.964226165,12.80005664,130.0,96
32.8536,5328.0,12.4468,-166.32,144.5688889,373.3333333,1.216,-3.979241072,5.640864903,160.0,72
34.8176,2686.5,9.009,-138.12,108.78,398.6666667,1.174,-4.995046994,37.24178104,110.0,72
26.144,1624.0,4.2504,-140.16,227.37,1528.0,0.916,-4.556974962,176.2524066,60.0,72
25.384,1450.0,5.313,-31.28,87.98,228.0,0.901,-4.517107845,35.91063752,85.0,12
26.144,1624.0,4.2504,-105.12,0.0,1092.0,0.903,-4.729617004,127.9318321,65.0,48
21.3449,1629.375,5.8278375,-421.04,0.0,352.0,1.742,-5.157392632,36.6966978,170.0,120
36.476,8778.0,14.7706,-358.64,87.98,332.0,1.677,-5.390050404,46.26268977,140.0,72
27.716,5664.0,7.918,-106.16,173.1066667,466.6666667,1.222,-4.628127129,13.23221701,110.0,72
10.296,1128.0,3.63132,-141.2,87.98,171.0,1.201,-4.406891232,36.84559048,140.0,96
21.397,4539.0,7.505425,-153.36,0.0,418.0,1.534,-5.107453521,32.5612949,100.0,72
25.42,1725.0,7.4921,-57.84,196.8,390.0,1.267,-6.155231528,81.84455985,160.0,72
26.4,2100.0,8.0696,-28.16,85.07333333,614.0,1.208,-4.469326552,101.170148,120.0,72
26.144,1624.0,4.2504,-210.24,276.76,1560.0,0.915,-5.121402382,182.3301617,85.0,48
33.462,4032.0,4.995,-87.6,401.08,940.0,1.254,-5.071912565,37.82333313,100.0,48
27.09666667,5200.0,7.056,-522.56,105.255,346.0,1.992,-5.214045515,177.5990682,105.0,72
34.6092,2030.0,7.7198,-103.72,148.888,302.8,1.115,-4.786118491,17.83935581,140.0,96
36.5344,6380.0,8.9324,-116.44,1729.95,1138.0,2.132,-4.720814605,77.3448487,80.0,24
30.272,6612.0,13.52,-96.3,0.0,978.0,1.664,-5.243803733,148.4067497,80.0,48
26.144,1624.0,4.2504,-35.04,0.0,1124.0,0.869,-4.892793423,191.0656814,80.0,24
26.144,1624.0,4.2504,-52.56,0.0,788.0,0.904,-5.015479437,216.2924947,65.0,72
28.90976,2150.4,6.49528,-195.96,0.0,2074.0,1.101,-5.094210054,181.339807,120.0,20
23.10533333,1666.666667,6.857333333,-84.48,43.99,1158.0,1.308,-4.85154234,108.5791704,90.0,48
25.5248,1344.0,6.752666667,-77.98,0.0,28.0,1.237,-5.689030696,47.81344734,150.0,72
25.19226667,2112.0,5.258933333,-97.4,0.0,1092.0,1.24,-4.795258878,145.2744111,65.0,24
33.9904,2358.0,7.938,-86.36,0.0,321.0,1.204,-4.560946924,76.68841112,100.0,36
30.272,8132.0,14.38753333,-726.6,92.2225,1267.5,1.873,-4.284475479,65.09391498,120.0,48
