total_SA_volumetric,mc_CRY-chi-3-all,mc_CRY-S-3-all,D_mc_CRY-T-3-all,f-lig-Z-0,f-lig-S-3,sum-D_lc-alpha-2-all,MPC,CH4DC,temperature,time
1138.54,63.7468,13.2016,24.5,1980.0,125.9544,-18.0,1.232,50.63762771,85.0,24
2238.01,32.49575,7.2975,12.5,1440.0,90.0006,-36.0,1.295,194.9190914,95.0,72
2311.78,45.524,8.28,12.0,1532.0,98.6986,-18.0,0.907,219.4501326,85.0,24
1539.18,45.408,7.6504,20.0,228.0,0.0,0.0,1.251,116.1809122,90.0,68
1717.32,47.7309,7.3326,10.0,992.1818182,60.30447273,-68.0,1.004,178.1377413,140.0,48
992.474,39.534,15.3,42.0,548.0,24.6794,-36.0,1.548,51.95229726,100.0,20
625.705,43.2795,8.4102,16.0,451.3333333,18.9206,-90.66666667,1.212,47.94270461,85.0,12
214.439,54.15,9.4392,12.0,466.0,28.9716,-24.0,0.823,34.83158883,180.0,72
1403.65,75.548,13.52793333,30.66666667,548.0,24.6794,-72.0,1.244,113.8063694,100.0,40
1802.64,40.8931,6.3283,11.5,1133.0,63.4184,-24.0,1.08,136.2399344,105.0,72
385.177,45.3255,8.8818,18.0,1127.0,65.8831,-32.0,1.222,28.7276643,85.0,72
1471.7783,129.3662,17.38445455,46.18181818,282.25,11.1672,-36.0,1.117,114.204902,170.0,72
882.553,44.24733333,9.692933333,22.0,768.0,45.1084,-36.0,1.312,82.10052552,161.0,480
128.677,88.7926,17.612,48.66666667,857.0,43.9584,-25.33333333,1.224,3.634788638,160.0,96
556.495,58.19515,15.5696,27.5,649.0,34.2032,-55.2,1.221,32.39434971,120.0,96
2302.05,45.524,8.28,12.0,1958.0,166.8436,-18.0,0.943,214.6640891,60.0,72
1004.38089,37.39613333,9.692933333,22.0,694.0,39.91,-36.0,1.476,60.77943599,120.0,72
574.853572,56.6657,12.3284,49.0,858.0,40.9852,-64.0,1.224,45.19114581,120.0,72
1591.41,45.524,8.28,12.0,2590.0,177.6182,-24.0,0.905,179.7011954,80.0,24
1687.34,39.312,16.6775,107.0,1441.0,85.4898,-12.0,0.291,133.7221952,160.0,72
1037.02,73.967,12.3924,42.0,942.5,50.8226,-0.4,0.921,64.61257486,130.0,24
411.969,28.443,12.95,62.0,1162.0,55.261,31.06666667,1.505,16.31316913,150.0,96
2175.73,45.524,8.28,12.0,2520.0,145.5372,-48.0,0.931,216.567958,85.0,18
1874.28,45.524,8.28,12.0,2292.0,121.9218,-48.0,0.928,194.9333956,80.0,48
414.6099,82.29386667,13.5828,51.33333333,443.0,17.958,-30.0,1.214,12.80005664,130.0,96
318.254,86.5449,18.944,65.0,1474.666667,35.72973333,-78.8,1.216,5.640864903,160.0,72
230.724,83.707,13.1229,43.5,720.0,35.85486667,-26.0,1.174,37.24178104,110.0,72
1885.0305,45.524,8.28,12.0,2632.0,151.2376,-24.0,0.916,176.2524066,60.0,72
988.726,47.348,8.2938,17.0,560.0,23.2358,-20.0,0.901,35.91063752,85.0,12
1793.4,45.524,8.28,12.0,1860.0,111.2496,-24.0,0.903,127.9318321,65.0,48
151.362,55.3011375,8.7477,22.0,466.0,28.9716,-30.0,1.742,36.6966978,170.0,120
477.565,76.538,26.94705,165.0,874.0,38.281,-36.0,1.677,46.26268977,140.0,72
122.755,59.5556,14.4448,32.0,697.3333333,40.40666667,-52.0,1.222,13.23221701,110.0,72
378.602,31.251,6.36136,-3.2,535.5,16.4388,-81.33333333,1.201,36.84559048,140.0,96
395.628,44.096,12.8008,19.5,617.0,37.04,-51.33333333,1.534,32.5612949,100.0,72
6.35281,51.243,11.537,32.0,768.0,36.1144,-25.36,1.267,81.84455985,160.0,72
1766.65,66.792,12.8904,48.0,849.0,55.3638,-13.33333333,1.208,101.170148,120.0,72
1554.84,45.524,8.28,12.0,2067.0,146.2746,-96.0,0.915,182.3301617,85.0,48
402.5467,39.92625,9.3462,28.5,1234.0,85.6632,-36.0,1.254,37.82333313,100.0,48
1621.14,37.664,14.2576,55.33333333,721.0,34.3115,-84.0,1.992,177.5990682,105.0,72
68.3281,84.9568,11.47685,59.5,442.2,23.88224,24.8,1.115,17.83935581,140.0,96
1357.2,52.6736,19.6252,117.0,1733.0,117.4132,-18.66666667,2.132,77.3448487,80.0,24
1321.99,54.67,20.1448,88.0,1371.0,92.2872,-18.0,1.664,148.4067497,80.0,48
2325.85,45.524,8.28,12.0,1572.0,109.1896,-12.0,0.869,191.0656814,80.0,24
2317.07,45.524,8.28,12.0,1458.0,80.5506,-18.0,0.904,216.2924947,65.0,72
1347.54,62.89248,9.3412,17.6,1519.0,128.385,-36.0,1.101,181.339807,120.0,20
1460.14,44.24733333,9.692933333,18.33333333,1701.0,113.493,-24.0,1.308,108.5791704,90.0,48
656.954,30.2376,7.005566667,18.33333333,328.0,4.2632,-36.0,1.237,47.81344734,150.0,72
2285.29,31.8058,7.039866667,10.66666667,1860.0,111.2496,-24.0,1.24,145.2744111,65.0,24
1420.25,83.60986667,13.2216,46.66666667,492.5,26.4747,-24.6,1.204,76.68841112,100.0,36
1216.61,68.60333333,24.69653333,108.6666667,1454.75,111.7491,-123.6,1.873,65.09391498,120.0,48
1915.83,46.17525,8.9211,17.0,1060.285714,67.21797143,-52.0,1.218,169.8538361,115.0,72
173.455,83.26066667,15.9248,65.33333333,328.0,4.2632,-144.0,1.258,103.9390036,170.0,168
1718.8275,45.5696,8.03436,10.8,1158.0,57.9932,-96.0,0.905,152.7996374,85.0,16
