CellV [A^3],Df,NASA [m^2/cm^3],total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-S-0-all,D_mc_CRY-S-2-all,sum-mc_CRY-Z-1-all,sum-D_mc_CRY-T-3-all,lc-chi-3-all,lc-Z-2-all,lc-alpha-0-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-T-1-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-alpha-2-all,func-chi-0-all,func-Z-1-all,func-T-3-all,D_func-chi-3-all,D_func-T-1-all,D_func-T-3-all,f-lig-T-1,sum-D_lc-Z-2-all,sum-D_lc-Z-3-all,sum-D_lc-T-3-all,sum-func-Z-0-all,sum-D_func-chi-2-all,sum-D_func-T-2-all,sum-f-lig-Z-3,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_methane_widomHOA,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,temperature,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category,time
2319.05,3.32075,203.896,0.0886596,1.4884,33.5744,92.0368,4356.0,2.7889,5.2,8448.0,288.0,17.544,176.0,28.09,0.86,1.78,-3.0,-4.0,-0.29,-6.0,9.243866667,230.6666667,22.0,2.08,1.666666667,0.666666667,1296.0,4.0,8.0,-8.0,246.0,1.94,-2.666666667,22288.0,-0.465,1.556,0.000185187,-30.07728671,9.57e-05,-26.71342836,1.24012249,1.803208229,200.0,962.0,0.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,240.0
6571.98,6.09535,11.02,0.2150076,3.61,24.624,57.304,841.0,1.9044,3.7,6960.0,88.0,25.4388,122.5,41.425,0.69,2.2475,-1.5,-2.75,-0.03,-6.9,8.379866667,148.0,40.0,3.726666667,-0.666666667,7.333333333,718.0,8.0,22.0,-11.0,472.0,5.386666667,-2.666666667,23016.0,-0.665,0.904,7.24e-05,-28.09676799,8.96e-06,-16.29731354,0.888634928,2.639490935,140.0,962.0,6342.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,5.0
6463.87,5.78841,0.0,0.209919,3.5344,34.2912,84.1864,729.0,1.5876,5.92,3402.0,204.0,28.49493333,121.3333333,54.76,0.816666667,1.773333333,-1.666666667,0.0,-0.033333333,-6.2,9.2416,87.5,20.0,1.47,-1.5,-3.0,332.0,50.0,56.0,0.0,294.0,5.88,-12.0,12012.0,-0.252,1.122,1.62e-05,-18.36499246,8.71e-06,-15.70495307,0.252253386,2.50344273,130.0,962.0,0.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,24.0
8086.64,2.96147,169.04,0.0480604,2.7225,22.044,45.3255,900.0,1.7161,2.7,7440.0,144.0,19.336,105.0,41.425,0.935,1.975,-2.0,-1.5,-0.04,-4.0,10.5376,83.25,22.75,2.69,-1.0,-2.25,507.0,64.0,68.0,-12.0,452.0,17.68,-6.0,28960.0,-0.538,1.239,4.78e-05,-27.82773941,8.69e-06,-20.71621012,0.622764545,1.070495309,85.0,962.0,6228.0,0.0,0.0,-0.110283159,-0.003003152,0.082883502,1.0,72.0
45709.9,16.17316,0.0,2.55998,2.7225,14.19,31.85325,900.0,1.7161,0.81,9600.0,24.0,17.544,112.0,28.09,0.89,1.78,-2.0,-2.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,8.0,16.0,-8.0,0.0,0.0,0.0,43488.0,-1.152,1.202,0.00030777,-33.0551461,3.18e-06,-5.456209293,1.791208954,1.752084873,90.0,6228.0,887.0,0.0,0.0,-0.110283159,-0.089079437,0.295377468,1.0,48.0
2233.5,2.46103,37.133,0.0270048,3.6481,31.324,70.6127,784.0,1.4641,3.08,4256.0,160.0,19.93333333,102.6666667,45.87,0.95,2.04,-2.0,-0.666666667,-0.04,-3.333333333,4.946233333,17.5,3.0,1.220833333,-0.916666667,-2.083333333,349.3333333,60.0,60.0,-4.0,153.5,2.59,-5.5,17208.0,-0.51,1.091,1.7e-05,-31.63808116,9.98e-07,-18.20990368,0.269796178,0.382120039,140.0,962.0,0.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,40.0
4418.29,3.98908,0.981407,0.223459,2.8561,29.28432,68.3774,2304.0,2.1904,4.016,26688.0,448.0,15.90577778,104.6111111,42.16583333,0.678888889,1.5425,-1.472222222,-1.888888889,-0.029444444,-3.361111111,9.7456,106.9444444,18.72222222,2.341111111,-0.5,2.0,260.0,55.66666667,67.0,-22.66666667,623.0,26.01666667,44.0,19152.0,-0.706,1.252,6.46e-05,-23.74726922,1.64e-05,-17.90970144,0.874969962,2.757368202,120.0,6228.0,887.0,0.0,0.0,-0.110283159,-0.097046499,0.394733864,1.0,72.0
1046.88,2.50265,334.935,0.0968031,2.4548,29.3056,41.2756,2220.5,2.466,5.53,8924.0,132.0,25.1444,115.5,32.535,0.905,0.710833333,-2.0,-0.833333333,-0.04,-6.466666667,0.0,0.0,0.0,0.0,0.0,0.0,122.0,19.0,15.5,-5.0,0.0,0.0,0.0,5852.0,-0.524,2.052,0.0771304,-54.45417784,5.28e-06,-18.25791633,2.935753259,1.182473743,140.0,962.0,702.0,0.0,971.0,-0.110283159,0.083073132,-0.129610464,2.0,72.0
6600.68,5.39642,0.0,0.583668,2.7225,22.704,63.7065,900.0,1.7161,1.62,15360.0,336.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,24.0,48.0,-48.0,0.0,0.0,0.0,25968.0,-0.96,1.216,0.000788975,-37.15357885,1.23e-05,-14.47235949,1.967002134,4.035810987,130.0,6228.0,0.0,0.0,0.0,-0.110283159,-0.089079437,0.295377468,1.0,28.0
5416.27,8.86105,0.0,0.52366,2.310175,20.658,46.63485,1818.25,2.6032,4.98,10464.0,216.0,18.73866667,107.3333333,36.98,0.92,1.91,-2.0,-2.333333333,-0.04,-4.666666667,0.0,0.0,0.0,0.0,0.0,0.0,300.0,72.0,84.0,-28.0,0.0,0.0,0.0,21888.0,-0.422,1.202,5e-05,-20.63920707,1.22e-05,-14.23611045,0.806433235,3.447184891,80.0,6228.0,0.0,0.0,944.0,-0.110283159,-0.089079437,0.295377468,2.0,48.0
