total_SA_volumetric,mc_CRY-chi-3-all,mc_CRY-S-3-all,D_mc_CRY-T-3-all,f-lig-Z-0,f-lig-S-3,sum-D_lc-alpha-2-all,MPC,CH4DC,temperature,time
203.896,92.0368,29.7928,144.0,3596.0,184.3344,-12.0,1.556,1.139377928,200.0,240.0
839.095,57.304,12.3648,11.0,1686.0,94.6014,-27.6,0.904,81.68650536,140.0,5.0
775.965,84.1864,14.3892,68.0,685.0,37.794,-37.2,1.122,54.3202884,130.0,24.0
169.04,45.3255,8.8818,18.0,1127.0,65.8831,-32.0,1.239,36.23932187,85.0,72.0
1216.69,31.85325,5.8164,1.5,2544.0,173.5734,-24.0,1.202,119.9964285,90.0,48.0
37.133,70.6127,10.9626,40.0,873.3333333,48.50026667,-20.0,1.091,30.97281795,140.0,40.0
917.172407,68.3774,14.8592,44.8,605.0,30.5338,-40.33333333,1.252,70.27206921,120.0,72.0
334.935,41.2756,9.7938,33.0,428.3333333,14.46946667,-38.8,2.052,43.09725134,140.0,72.0
1854.34,63.7065,11.6328,21.0,694.0,39.91,-72.0,1.216,139.30721,130.0,28.0
1577.23,46.63485,12.8016,27.0,617.0,37.04,-56.0,1.202,122.0234864,80.0,48.0
1080.5023,61.95266667,10.3638,20.0,634.6666667,48.5768,-22.4,0.901,91.06668531,25.0,240.0
1664.98,43.8468,15.03,42.0,792.0,40.8668,-36.0,1.95,116.9985647,120.0,96.0
244.107,52.2404,8.716666667,21.33333333,711.0,31.0002,-12.0,1.179,25.27745865,180.0,48.0
1280.13,55.209,10.8468,32.0,676.0,48.8044,-30.0,1.221,116.1255634,100.0,120.0
1130.2,74.42084,19.22224,46.8,507.1111111,25.68615556,-69.46666667,1.198,72.52121608,100.0,120.0
844.537,74.39786667,11.97,42.0,971.0,58.4632,-32.0,1.198,46.11070375,110.0,96.0
209.662,48.1988,10.0492,32.0,735.0,42.0101,-65.6,1.22,23.79832342,90.0,72.0
1671.619,49.704,12.1992,12.0,915.0,38.2998,-31.2,0.798,178.3003574,85.0,48.0
18.07,64.4005,10.7157,20.0,995.0,34.3886,-24.0,0.95,40.23725227,160.0,96.0
2038.96,45.695,9.173057143,13.0,715.1428571,41.69048571,-51.0,0.91,185.0987283,105.0,12.0
2032.27,45.524,8.28,12.0,5144.0,366.8434,-12.0,0.905,153.8605496,80.0,18.0
163.821,64.4464,10.3194,29.33333333,711.0,31.3202,-24.0,1.175,21.89932092,160.0,72.0
328.117,49.39025,10.6116,21.0,932.0,64.49708571,-30.0,1.202,35.34115184,120.0,72.0
1220.576018,49.59228,13.01756,16.0,975.0,32.5414,-48.0,1.213,134.661121,180.0,48.0
662.175,52.59013333,18.5203,97.66666667,505.875,26.806225,-96.0,1.882,44.22293005,85.0,48.0
415.713,43.32766667,9.73,28.0,874.0,37.961,-48.0,1.32,72.73070436,100.0,72.0
1635.13,45.524,8.28,12.0,6132.0,680.8194,-6.0,0.904,105.0167951,80.0,48.0
314.699,86.1004,19.07712,50.4,233.0,1.11,-22.6,0.874,28.78271185,150.0,72.0
698.289,66.67613333,14.2968,47.5,581.2941176,30.22741176,-66.0,1.236,33.24528139,160.0,72.0
191.718,42.3,6.7788,17.2,824.6666667,53.76193333,-10.1,1.152,34.45988852,140.0,72.0
1443.263374,43.73325,9.1962,16.75,1605.0,89.3166,-48.0,1.25,100.4273388,105.0,72.0
816.76443,43.329,8.31195,9.0,779.0,33.4334,-9.9,1.224,71.63878201,80.0,48.0
370.14,46.82866667,8.3352,13.33333333,645.5,38.8101,-32.0,0.911,59.2806444,180.0,12.0
1722.89,59.4594,10.85728,20.0,816.0,50.337,-96.0,1.24,198.2874961,85.0,16.0
850.721,47.802,10.3694,26.25,1314.0,78.819,-24.0,1.297,54.30177991,85.0,72.0
1046.26,47.614,10.2396,12.0,616.0,27.1126,-9.9,0.889,83.6487166,90.0,72.0
2231.47,45.524,8.28,12.0,1974.0,139.466,-24.0,0.906,167.6308652,60.0,48.0
37.9192,37.126,8.211,5.0,385.0,19.075,-9.8,0.826,12.55378709,160.0,72.0
914.1062,39.534,7.86,14.66666667,1642.0,93.6806,-24.0,1.251,102.9889475,90.0,72.0
1344.86,34.872,12.6672,54.0,548.0,24.6794,-72.0,1.956,94.61286751,60.0,96.0
596.911,88.9428,14.7672,68.0,684.0,36.4765,-30.9,1.167,24.51888616,150.0,96.0
1472.11,78.8848,12.6672,61.33333333,757.6,48.25128,-17.26666667,1.105,68.03838726,180.0,144.0
169.775,62.5556,15.7596,3.4,274.5,7.20916,-85.8,0.828,11.40489494,140.0,72.0
2081.15,42.06,15.2776,64.0,1029.0,52.3094,-20.57142857,1.488,112.9278215,60.0,168.0
356.786,68.4112,14.5632,48.0,586.8,35.42632,-144.0,1.219,31.55711095,200.0,96.0
2049.62,47.3124,9.6844,18.0,792.0,40.8668,-29.6,1.921,202.1033698,105.0,96.0
777.748,53.8434,11.49664,24.8,1201.0,74.5038,-48.0,1.244,59.82788412,100.0,40.0
693.565,95.108,17.2916,78.0,165.0,0.0,19.2,1.355,40.50060288,120.0,72.0
2226.47,62.04,12.8511,83.0,4200.0,447.6632,-2.189473684,1.357,147.2900444,70.0,72.0
2289.74,38.33765,8.3102,12.0,1192.0,58.6302,-24.0,1.235,207.888745,85.0,48.0
1428.22,40.6122,15.84,42.0,611.0,26.321,-36.0,2.061,94.61062055,160.0,72.0
1091.63,46.314,15.0894,17.4,617.0,37.04,-28.0,1.631,94.39445455,100.0,96.0
830.037,45.524,8.28,12.0,2031.0,153.5742,-48.0,0.918,126.3900389,85.0,48.0
1759.23,48.5705,9.082666667,16.0,1124.0,31.3258,-60.0,1.23,140.9829569,100.0,24.0
456.594,61.123,10.3293,19.5,344.0,8.8833,-48.26666667,0.93,41.72999549,120.0,50.0
141.481,51.117,9.9036,24.0,545.0,31.3848,-32.0,1.214,12.0394721,120.0,72.0
2007.17,39.534,7.86,13.0,1477.0,84.4998,-24.0,1.235,108.9237086,90.0,72.0
1014.14,40.96,16.5186,42.5,1021.857143,65.91942857,-60.0,1.517,98.02829965,100.0,120.0
1534.59,57.01266667,12.50893333,22.44444444,616.0,27.1126,-97.6,0.925,123.5465214,85.0,96.0
1237.19,46.3752,8.31312,14.4,472.0,16.1426,-50.72,0.907,101.305682,120.0,72.0
1842.13,61.14890909,11.55436364,12.54545455,411.0909091,17.40423636,-230.4,0.905,155.3512942,60.0,72.0
306.694,61.4384,10.1724,40.66666667,854.5,45.9506,-16.0,1.176,41.45797924,120.0,144.0
813.701,43.326,11.16955,33.5,397.0,16.595,-61.33333333,1.619,36.86484884,100.0,72.0
645.979,44.8855,16.6824,65.0,536.0,17.8522,-138.28,1.953,56.89774373,110.0,48.0
1925.5,31.966,12.818,44.0,931.0,51.4292,-20.57142857,1.555,175.8311538,80.0,48.0
901.745,90.20436,28.88098,97.6,3388.0,66.59206667,-76.53333333,2.033,72.00715145,170.0,168.0
1284.69,55.005,8.7552,12.0,246.0,8.5434,-48.0,0.516,145.3397636,160.0,72.0
94.4207,52.326,9.4254,32.0,397.0,16.611,-17.33333333,0.921,4.969770979,180.0,72.0
27.4158,66.9916,13.2312,32.0,489.0,14.4858,-8.0,1.212,52.4920945,120.0,24.0
1569.1642,32.7015,7.3408,27.0,862.8,51.33648,-36.0,1.224,101.171321,100.0,72.0
2550.67,39.1911,7.622,28.0,328.0,4.2632,-84.0,1.254,173.8838518,120.0,72.0
605.658,32.8378,13.2704,54.0,402.0,9.2568,-36.0,2.057,49.56895765,150.0,120.0
296.212,42.64715,9.4498,21.5,995.5,51.6194,-48.0,1.239,43.45964864,160.0,72.0
1415.53,35.4532,12.5918,44.0,776.0,48.71753333,-16.0,1.755,123.545322,95.0,24.0
572.739,46.134,8.8556,18.0,654.0,40.2342,-10.1,1.22,31.61286703,150.0,43.0
619.008,138.81216,18.8984,55.2,638.0,39.2766,15.2,1.868,71.44966887,160.0,72.0
1714.871,60.69866667,11.04,13.33333333,1260.0,76.5996,-64.0,0.963,171.1313105,65.0,48.0
1725.75,45.524,8.28,12.0,1821.0,112.2528,-96.0,0.912,191.8779764,70.0,48.0
666.059,64.65566667,13.7888,45.0,1166.0,62.3818,-24.0,1.32,41.39403975,80.0,72.0
954.655,104.94476,15.11752,34.0,601.8,29.57376,-93.6,1.794,92.53596165,120.0,72.0
915.228,84.284,14.421,25.0,617.0,37.04,-37.33333333,0.886,127.3191355,180.0,312.0
5.99246,67.093,14.5484,69.0,528.0,24.9866,-16.0,1.21,46.55467309,160.0,72.0
826.548,45.26775,8.84905,17.5,671.3333333,31.8024,-32.0,1.251,82.19768327,95.0,72.0
1387.861,76.20684444,12.4544,49.77777778,397.0,16.611,-77.33333333,1.18,86.12038596,100.0,24.0
1.97782,81.0426,14.83776,29.2,330.0,9.889,-50.13333333,0.911,9.79753001,160.0,96.0
1749.4,55.209,10.8468,32.0,930.0,50.016,-20.8,1.213,115.7787221,120.0,120.0
1162.1,45.12,16.5789,81.0,1256.0,80.917,-27.2,1.412,119.3137833,110.0,72.0
861.704,28.182,11.5089,57.0,1149.0,77.652,-12.0,1.626,48.30564915,120.0,24.0
1844.56,48.13333333,8.3904,12.0,465.0,27.0032,-16.0,0.85,152.5047755,165.0,96.0
466.24,40.513,7.825066667,10.33333333,1092.666667,55.5484,-36.0,1.242,45.96555081,120.0,72.0
1866.56,18.156,4.3736,20.0,768.0,45.1084,-96.0,2.0,134.9457619,160.0,72.0
26.1134,28.6068,9.966,28.0,1315.0,70.2892,-20.0,1.541,42.03571818,95.0,72.0
869.873,54.29566667,10.1016,20.33333333,536.8,29.1672,-115.2,0.926,65.6258452,25.0,168.0
784.631,34.59225,6.8775,8.0,1094.0,58.39,-12.0,1.228,53.94317571,150.0,72.0
2359.68,41.15571429,8.133228571,15.14285714,730.0,19.2594,-48.0,1.249,188.7831386,100.0,48.0
51.5444,21.593,9.027,38.0,873.3333333,36.44153333,-13.6,1.506,64.72040912,170.0,36.0
1918.59,71.934,12.4476,35.33333333,876.0,58.52566667,-25.2,0.917,206.7259309,85.0,72.0
377.097,55.209,10.8468,32.0,1120.666667,61.42846667,-56.0,1.221,13.22030702,100.0,60.0
1464.03,46.5134,11.82173333,12.0,974.5,31.7163,-48.0,1.202,134.6875707,160.0,48.0
756.963,62.469,11.8162,26.0,726.4,30.48808,-72.0,1.216,46.09232667,140.0,96.0
275.188,56.66333333,8.510333333,29.33333333,667.2,35.96604,-12.6,1.095,44.09178699,180.0,72.0
1298.4,56.6657,12.3284,49.0,1048.0,72.0728,-32.0,1.226,82.12468416,80.0,72.0
146.421,54.51733333,14.7936,16.0,409.0,14.4938,-89.6,0.893,21.28926859,140.0,72.0
726.779,61.7265,11.7114,20.0,1731.0,61.717,-15.9,1.229,80.28844255,120.0,40.0
963.372,36.0221,6.58355,27.0,2416.0,175.0462,-23.28,1.424,57.61384383,100.0,72.0
1381.147,79.388,14.7396,50.0,832.0,44.7436,-48.0,2.012,67.29862159,120.0,48.0
280.025,54.86485714,12.01831429,20.57142857,351.8,11.22152,-16.4,1.205,32.3369284,160.0,72.0
1158.67,62.0664,11.74808,33.6,1254.75,103.6274,-28.0,1.242,65.59921125,110.0,72.0
1423.06,48.412,9.3702,14.8,753.0,65.6746,-14.0,0.826,95.59532079,120.0,72.0
93.3495,83.6224,11.9511,59.5,442.2,23.88224,24.8,1.18,16.34573962,140.0,96.0
2034.86,43.11866,9.30032,18.6,1681.0,93.0978,-24.0,1.247,162.563696,90.0,72.0
563.105,127.76332,19.707445,51.85,455.5,0.710533333,-12.0,1.691,83.47125132,120.0,120.0
427.696,26.356,5.24,0.666666667,2759.0,199.8162,-12.0,1.235,25.77626347,100.0,72.0
1433.6,85.186,12.5598,52.0,1094.0,57.75,-12.0,1.143,99.19701485,140.0,72.0
1559.881,40.4924,8.88,12.0,1695.0,62.112,-96.0,1.217,178.4861553,100.0,72.0
1355.25,33.6408,8.84735,16.0,997.0,63.0369,-96.0,1.476,88.56157734,120.0,120.0
2263.2,37.43025,7.35565,9.5,1860.0,111.2496,-24.0,1.233,125.2169636,65.0,24.0
433.936,86.81464,13.8852,38.4,598.0,28.6914,-102.12,1.167,52.63103762,140.0,72.0
1133.52,54.549,13.31833333,25.33333333,384.5,13.5866,-18.53333333,1.203,103.8511088,120.0,120.0
47.58,34.2392,9.82588,28.4,735.0,26.7146,-31.04,1.554,40.05004036,100.0,72.0
1952.61,66.5144,10.458,42.0,431.5,22.7945,-24.0,1.12,227.3980373,160.0,120.0
470.446,33.428,11.2391,33.0,516.5,20.4494,-12.0,1.74,54.6995644,100.0,144.0
183.222,114.4854,16.4076,96.0,1656.0,120.6474,7.6,1.059,18.63612199,160.0,72.0
1758.366477,45.524,8.28,12.0,1176.0,69.1508,-72.0,0.902,173.6997868,70.0,24.0
143.541,86.52,25.61195,109.0,412.8571429,0.0,3.2,1.819,19.38122865,140.0,48.0
298.161,73.34,11.6736,32.0,796.75,60.7375,-32.0,1.715,14.64748339,175.0,72.0
1400.08,35.442,6.9168,12.0,560.0,23.2358,-74.66666667,1.21,125.8170983,140.0,120.0
1033.85,18.156,4.3736,20.0,874.0,37.961,-18.0,1.912,52.73227672,105.0,36.0
2281.07,39.534,7.86,12.0,1454.0,92.1382,-18.0,1.198,218.8489959,85.0,48.0
762.318,85.5298,13.8182,68.0,685.0,37.794,-37.2,1.059,54.92600719,120.0,48.0
1835.32,64.046,15.47533333,36.0,2732.0,180.5136,-15.6,1.309,189.2969782,75.0,48.0
2023.18,45.524,8.28,12.0,3180.0,206.8242,-48.0,0.907,218.3096648,80.0,24.0
1913.19,45.524,8.28,12.0,711.0,31.0002,-48.0,0.909,191.7232318,180.0,24.0
408.067,48.8312,16.0545,59.0,868.0,32.4314,-36.0,1.981,55.83272609,140.0,24.0
1434.98485,117.4147429,15.7868,40.85714286,340.0,5.12604,-12.0,1.307,101.4912047,160.0,72.0
38.2665,40.992,15.2544,88.0,1053.0,69.469,-38.4,2.132,28.43696959,120.0,72.0
2197.29,35.4873,6.61755,8.0,1104.0,60.38,-72.0,1.476,191.3279966,160.0,72.0
121.808,31.41955,9.6662,5.0,939.0,62.3382,-24.0,1.233,22.24824142,120.0,48.0
1157.0,67.82288,12.10104,30.0,381.0,11.96865,-19.56666667,1.166,59.4857392,150.0,60.0
1359.15,80.09426667,12.4488,34.33333333,548.0,24.6794,-120.0,1.187,101.5625366,160.0,72.0
1251.12,34.52085,12.9344,35.0,1192.0,58.6302,-16.66666667,2.092,74.43435106,130.0,48.0
1519.61,54.42525,10.74855,18.25,938.0,54.84546667,-31.8,1.211,95.51632278,135.0,72.0
1314.33,71.928,12.22208,32.0,209.0,3.663,38.0,1.174,81.77614241,85.0,96.0
1410.13,80.367,14.87095,54.5,548.0,24.6794,-96.0,2.043,79.35605035,220.0,72.0
1267.25,58.0635,11.2922,32.0,560.0,22.5614,-53.04,1.229,73.2245465,100.0,48.0
528.234,58.862,10.4328,24.0,397.0,16.595,-72.0,0.904,29.79070516,25.0,336.0
434.529,32.945,6.55,6.666666667,931.0,51.4292,-24.0,1.203,63.85968733,100.0,60.0
982.284,48.03013333,7.195466667,18.66666667,2118.0,161.4504,-12.0,1.126,88.08616604,120.0,72.0
198.411,40.8931,6.3283,12.0,1028.0,96.4656,-24.0,1.14,38.74676772,180.0,40.0
764.705,50.25075,9.21585,16.0,931.0,51.7492,-48.0,1.23,47.82885385,130.0,72.0
2080.63,37.56028571,7.836428571,9.857142857,780.0,43.3288,-62.4,0.91,183.2841041,85.0,12.0
2117.3971,40.4924,8.88,14.66666667,851.0,41.2458,-24.0,1.256,179.9139598,100.0,72.0
1909.09,46.6785,8.7639,24.0,2164.0,187.668,-12.0,1.245,174.8313785,100.0,48.0
2183.94,41.90253333,10.70763333,23.0,548.0,24.6794,-108.0,1.469,146.4769758,120.0,120.0
491.197,61.0005,11.8686,40.0,595.0,30.3007,-64.0,1.224,27.84218614,100.0,72.0
976.3111,114.7905,20.2395,21.0,1585.0,87.9942,-48.0,1.132,44.84744289,90.0,20.0
1441.6,52.06,9.2874,13.0,674.0,28.5386,-24.0,0.923,160.534807,100.0,18.0
2158.91,63.7065,11.6328,21.0,931.0,51.4292,-48.0,1.215,125.163118,110.0,80.0
1043.06,87.077,15.19725,27.5,605.0,30.5338,-14.0,0.916,64.96518966,120.0,72.0
158.552,51.117,9.9036,24.0,882.0,48.82686667,-20.0,1.211,35.62331205,140.0,72.0
508.047,40.458,16.632,104.0,631.6,39.37696,-31.6,1.858,19.57645596,170.0,72.0
1817.36,39.159,7.2726,7.0,999.0,53.8624,-127.2,0.935,180.6809573,75.0,40.0
42.5106,52.0848,10.42325,12.25,874.0,37.961,-24.0,1.237,48.59405652,160.0,60.0
1506.54,41.088,14.2576,43.33333333,906.0,64.1994,-48.0,2.084,121.5121361,80.0,72.0
603.909,38.874,7.8862,15.0,702.0,30.5154,-31.8,1.235,100.5076821,160.0,120.0
209.077,26.7352,8.545333333,13.33333333,3128.0,207.1652,-10.28571429,0.351,47.0284844,180.0,168.0
295.344,61.56566667,10.42213333,30.66666667,609.3333333,23.93726667,-15.3,1.121,63.97711679,160.0,96.0
1351.35,78.8848,12.6672,61.33333333,625.6,35.99388,-17.26666667,1.085,67.33065613,160.0,12.0
32.1105,60.0848,9.4752,24.0,959.3333333,60.5002,-4.4,1.152,25.85914024,130.0,72.0
191.331,72.3988,11.403,59.0,1169.0,79.4633,-16.4,1.15,12.83499057,120.0,120.0
1177.78,59.816625,10.902475,17.25,548.0,24.6794,-36.0,1.21,89.47741664,110.0,72.0
370.047,49.51663333,25.49306667,79.33333333,3509.0,181.5532,-24.0,2.052,36.27314448,100.0,60.0
1509.03,56.784,12.4024,68.0,1025.0,61.0162,-24.0,1.226,85.44238584,100.0,24.0
415.67479,79.40093333,20.97393333,88.5,560.0,22.5614,-79.56,1.654,42.73329716,170.0,72.0
227.773,108.1262,21.99872,71.2,524.5,30.7341,-80.0,1.245,30.00996043,160.0,72.0
134.564,64.5216,10.7541,49.5,947.0,60.7288,-22.5,1.159,24.43088561,180.0,24.0
2484.78,72.2,12.5856,32.0,842.0,51.479,-24.0,0.85,215.2373851,120.0,96.0
1407.01,39.534,15.12,42.0,538.0,17.1366,-72.0,1.956,127.2794524,120.0,21.0
192.916,44.156,10.06848,2.4,785.3333333,42.87573333,-28.0,0.825,29.38786732,150.0,72.0
2154.5,66.5445,13.8598,15.0,561.3333333,32.87126667,-58.8,1.178,158.4986926,130.0,72.0
1617.2,40.28,18.463,76.8,1371.0,92.2872,-48.0,1.532,116.6630715,100.0,120.0
1802.13,45.524,8.28,12.0,2528.0,139.8628,-18.0,0.908,166.892569,90.0,48.0
837.977,31.2837,6.819166667,17.0,2416.0,175.0462,-23.4,1.211,49.87187521,90.0,96.0
1135.57,116.9987,24.2128,53.0,900.0,31.0584,-39.6,1.213,104.2742655,120.0,72.0
667.858,48.796,10.61973333,14.66666667,1319.5,101.6799,-86.4,1.654,49.70753371,80.0,48.0
141.755,64.317,11.8948,36.0,623.0,35.4458,-0.2,1.175,18.8381683,100.0,72.0
313.685,100.2001,21.016,71.0,1000.0,63.7578,-20.8,1.222,11.72745232,160.0,72.0
418.117,65.1608,10.07496,21.6,1412.0,80.0352,-24.0,1.147,30.52927971,160.0,72.0
1939.84,38.555,15.2776,66.0,1143.0,46.4156,-20.57142857,1.606,139.5275625,105.0,24.0
975.380487,34.6788,7.7996,20.0,1614.0,91.4894,-12.0,1.248,92.03759328,85.0,72.0
1469.02,29.6505,5.895,5.0,1792.0,123.9426,-24.0,1.213,121.5140496,115.0,120.0
699.887,46.4225,10.425,26.0,1355.0,80.4562,-24.0,1.312,43.59917882,150.0,96.0
712.871,37.39613333,9.692933333,22.0,694.0,39.91,-36.0,1.48,34.9017398,110.0,24.0
972.784,72.3988,11.403,59.0,1173.0,85.3018,-16.4,1.154,66.53750718,160.0,72.0
1754.58,54.9186,10.09224,17.6,768.0,45.1084,-48.0,1.225,94.79648745,60.0,72.0
1656.2021,42.978,8.6733,12.0,560.0,22.8998,-41.6,0.909,127.0370649,85.0,48.0
873.059,17.6106,5.985,9.0,1559.0,93.6828,-24.0,0.56,84.88189792,100.0,72.0
1451.41,55.347,10.4742,18.0,2442.0,164.2418,-14.8,0.907,125.9216041,100.0,48.0
80.1392,58.2424,9.5256,24.0,978.0,63.1588,-16.0,1.111,19.49929816,120.0,72.0
237.641,53.6176,8.5554,32.0,735.0,42.0101,-65.6,1.155,34.92264072,90.0,72.0
357.268,53.98986667,11.84,32.0,874.0,37.961,-24.0,1.249,45.84938715,100.0,72.0
1431.96,47.8002,18.27,91.0,1732.0,116.3032,-21.0,2.158,79.90096131,140.0,72.0
876.711,63.5628,21.54466667,220.0,228.9333333,3.0856,-60.0,0.31,45.69270041,150.0,24.0
2157.3,53.124,9.3288,18.0,756.0,38.2988,-16.1,0.912,206.0719192,80.0,48.0
1939.6,45.524,8.28,12.0,1587.0,95.8446,-48.0,0.906,197.4758895,85.0,48.0
298.281,39.534,7.86,12.0,1518.0,86.777,-12.0,1.235,11.49228628,160.0,144.0
486.691,60.489,11.8948,25.0,413.0,17.4857,-27.8,1.196,18.5566132,120.0,72.0
561.355,70.7598,12.73502,52.0,523.25,20.2536,-17.36285714,1.541,62.61105111,100.0,36.0
1295.32,70.11675,12.5629,21.25,711.0,31.3202,-48.0,1.231,108.5719387,65.0,48.0
707.042,77.1705,13.6895,48.0,653.5,24.74715,-2.4,1.214,41.34493731,100.0,72.0
242.514,58.2424,9.5256,24.0,824.0,47.67986667,-28.0,1.136,35.60861077,105.0,72.0
970.131,47.72448,10.49832,60.0,468.0,13.2356,-78.72,1.74,80.93633087,120.0,45.0
1810.37,45.524,8.28,12.0,1809.0,137.979,-96.0,0.897,183.7604276,90.0,24.0
1246.77,38.67648,11.2096,37.6,553.7142857,30.45925714,-125.2,1.997,91.79730332,100.0,120.0
1450.79,28.752,10.08,12.0,880.0,67.9534,-24.0,1.645,82.04459667,120.0,72.0
1279.92,85.8878,13.4505,63.0,715.7142857,39.50225714,-40.8,1.185,66.74236002,115.0,96.0
1319.43,52.21583333,15.87833333,36.66666667,548.0,24.6794,-72.0,1.24,80.34406923,150.0,96.0
386.304,27.5032,10.032,42.0,548.0,24.6794,-14.0,1.535,17.7021473,140.0,24.0
1403.64,72.618,12.4476,36.0,197.75,1.6872,30.4,0.863,93.79935488,200.0,48.0
1988.77,18.156,4.3736,20.0,730.0,19.2594,-48.0,1.996,119.8351354,120.0,72.0
1896.8,72.756,11.844,36.0,854.0,58.2105,-42.0,1.165,81.0204313,80.0,72.0
690.854,60.489,11.8948,25.0,413.0,17.4857,-27.8,1.195,60.55401521,120.0,72.0
1688.7,55.649,10.3752,21.33333333,1372.0,93.3972,-48.0,1.234,148.0959189,90.0,24.0
669.5671,73.13537778,11.53271111,26.0,466.0,28.9716,-16.0,1.791,90.81805987,170.0,96.0
433.924,53.889,10.8992,31.0,768.0,34.96,-29.92,1.186,70.61316965,110.0,72.0
266.938,21.9165,11.174,39.0,1461.0,119.9196,-48.0,1.525,6.647466255,140.0,12.0
256.816,65.8658,10.8738,45.5,652.0,29.1375,-35.8,1.191,9.624744029,100.0,48.0
2311.99,30.744,11.4408,43.0,1238.0,61.3074,-28.8,1.839,153.5460586,85.0,17.0
1192.07,35.75,13.8936,48.0,1671.0,105.7776,-24.0,2.111,98.50040461,80.0,48.0
747.675,53.2675,10.0739,11.66666667,2374.0,88.5804,-12.0,1.231,57.16781142,110.0,120.0
2408.91,79.648,12.3648,36.0,958.0,64.7944,23.2,0.839,217.8387109,140.0,120.0
615.844,46.79328333,10.09853333,26.33333333,603.3333333,36.37266667,-97.33333333,1.22,27.91080944,75.0,48.0
575.037,70.367,13.0607,36.66666667,679.6,37.168,-35.0,1.226,26.50662638,120.0,96.0
2082.77,113.8152,17.58645,75.0,947.75,53.463,-40.0,1.231,184.6221611,120.0,120.0
2390.24,50.4768,11.1088,14.8,391.0,12.91746667,-51.33333333,1.196,150.8765054,120.0,336.0
1561.83,118.2144,16.9344,102.0,958.0,64.7944,34.8,1.113,124.2673238,130.0,72.0
1620.9912,50.25778333,12.76993333,27.16666667,394.1176471,14.1242,-87.73333333,1.221,135.9859444,100.0,24.0
